,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,4,18,0,-0.032432692919476,-0.07763736803338778,2.724029516216778,0.5676757880814427,0.512268308772931
1,6,95,1,-0.22765534351139802,-0.12682071374222684,-0.32203053832063505,-0.25039256666078463,-0.6689773707289994
2,6,98,0,0.10376915633070215,1.3486796575229445,3.4039536355331648,-0.25039256666078463,1.1741009944513174
3,10,110,1,-0.18679478873634459,-0.05304569517896826,0.1947117923598189,-0.25039256666078463,1.8191784222644283
4,6,49,1,-0.1141538024695829,-0.12682071374222684,4.87258973325656,-0.25039256666078463,-0.4511590184804165
5,6,98,0,0.5123747040812366,-0.028454022324548738,-0.32203053832063505,-0.25039256666078463,0.4787577930423797
6,6,95,0,0.012967923497250048,2.0372464974466915,0.14031786281450795,0.2949863365007003,0.41173676158127726
7,1,32,1,0.2399710055808803,0.5617461261815198,-0.4852123269565679,-0.25039256666078463,2.3888571896837987
8,1,134,0,0.10376915633070215,1.2994963118141054,0.8202419821308947,0.02229688491995781,0.6630656295604114
9,6,98,1,-0.10053361754456508,-0.10222904088780731,7.102740844614309,-0.25039256666078463,-0.3171169555582117
10,5,101,0,-0.08237337097787466,-0.05304569517896826,5.579710817345602,-0.25039256666078463,1.2746325416429711
11,6,98,0,0.28083156035593376,-0.10222904088780731,1.0378177003121385,-0.25039256666078463,0.721709032088876
12,1,134,0,0.012967923497250048,1.2994963118141054,1.1466055594027604,0.02229688491995781,0.41173676158127726
13,1,135,0,0.14008964946408298,-0.10222904088780731,1.1738025241754158,0.02229688491995781,1.4840732649589161
14,4,18,0,0.4215734712477845,-0.10222904088780731,5.579710817345602,-0.25039256666078463,1.2411220259124198
15,1,118,0,-0.009732384711112978,1.2994963118141054,2.1256962912183575,-0.25039256666078463,1.6348705857463965
16,6,98,0,0.10376915633070215,-0.10222904088780731,0.0043330389512305865,0.02229688491995781,-0.6438444839310861
17,6,97,0,0.10376915633070215,-0.07763736803338778,-0.34922750309329054,0.02229688491995781,-0.5433129367394324
18,6,49,0,0.5895557519896709,-0.10222904088780731,3.9478929309862743,-0.25039256666078463,2.1459059506373026
19,6,95,0,0.012967923497250048,2.0372464974466915,0.2763026866777853,0.2949863365007003,0.9311497554048211
20,1,32,0,0.10376915633070215,-0.05304569517896826,0.33069661622309626,-0.25039256666078463,-0.20820777943392021
21,5,101,0,-0.032432692919476,-0.12682071374222684,-0.4580153621839124,2.2038124975658975,2.1877940953004913
22,6,49,0,0.28537162199760635,1.2994963118141054,1.3913782423566596,0.2949863365007003,1.1824786233839553
23,6,49,0,0.1491697727474282,-0.07763736803338778,6.042059218480746,0.5676757880814427,1.8108007933317904
24,6,49,1,-0.10507367918623768,-0.15141238659664635,0.2763026866777853,-0.25039256666078463,2.3553466739532474
25,4,73,0,-0.023352569636130794,-0.10222904088780731,3.4311506003058203,-0.25039256666078463,2.204549353165767
26,6,94,0,-0.05513300112783903,1.2994963118141054,-0.4580153621839124,-0.25039256666078463,0.07663160427576511
27,0,89,1,-0.1232339257529281,-0.15141238659664635,0.41228751054106266,0.02229688491995781,1.8191784222644283
28,10,110,1,-0.19133485037801717,-0.05304569517896826,0.085923933269197,-0.25039256666078463,2.087262548108838
29,4,18,0,-0.06875318605285684,-0.12682071374222684,7.864255858248662,0.02229688491995781,-0.45953664741305433
30,1,135,1,-0.12777398739460072,-0.15141238659664635,3.893499001440963,0.02229688491995781,0.33633810118753704
31,6,97,0,0.0583685399139761,1.8896964603201742,2.2888780798542903,2.2038124975658975,1.1824786233839553
32,5,105,0,0.0583685399139761,0.06991266909312935,-0.32203053832063505,-0.25039256666078463,1.9280875983887198
33,1,118,1,-0.07783330933620206,-0.10222904088780731,0.8746359116762057,0.02229688491995781,-0.6689773707289994
34,6,98,1,-0.1096137408279103,-0.12682071374222684,1.4185752071293152,-0.25039256666078463,-0.6689773707289994
35,6,97,1,-0.1232339257529281,-0.15141238659664635,-0.4580153621839124,-0.25039256666078463,-0.6689773707289994
36,1,135,1,-0.14139417231961854,-0.15141238659664635,0.1947117923598189,0.02229688491995781,1.148968107653404
37,1,32,0,0.2354309439392077,-0.07763736803338778,2.4792568332628786,-0.25039256666078463,1.7186468750727746
38,6,98,0,0.10376915633070215,-0.05304569517896826,1.2825903832660377,0.02229688491995781,0.8892616107416321
39,11,4,1,-0.1141538024695829,-0.10222904088780731,-0.1860457144573577,-0.25039256666078463,-0.12443149010754218
40,1,32,1,-0.05059293948616642,-0.12682071374222684,2.2616811150816347,-0.25039256666078463,-0.4008932448845897
41,6,98,1,-0.07783330933620206,-0.07763736803338778,3.6215293537144086,-0.25039256666078463,-0.6689773707289994
42,4,18,0,-0.08691343261954726,1.2994963118141054,0.54827233440434,0.02229688491995781,1.5427166674873807
43,6,98,0,0.4215734712477845,-0.10222904088780731,0.4666814400863736,-0.25039256666078463,-0.4008932448845897
44,6,98,0,0.012967923497250048,-0.07763736803338778,-0.4852123269565679,-0.25039256666078463,0.41173676158127726
45,1,32,0,0.09468903304735694,-0.05304569517896826,-0.34922750309329054,-0.25039256666078463,-0.6689773707289994
46,4,2,1,-0.05513300112783903,-0.07763736803338778,3.757514177577686,-0.25039256666078463,-0.3925156159519519
47,10,110,2,0.09468903304735694,-0.12682071374222684,-0.4852123269565679,-0.25039256666078463,2.3888571896837987
48,4,2,0,0.10376915633070215,-0.12682071374222684,-0.4580153621839124,-0.25039256666078463,-0.10767623224226656
49,0,79,0,-0.05513300112783903,1.2994963118141054,-0.1860457144573577,-0.25039256666078463,1.7186468750727746
50,6,95,0,0.6031759369146887,-0.10222904088780731,1.7177418196285252,0.2949863365007003,-0.09929860330962877
51,4,18,0,0.0583685399139761,-0.10222904088780731,3.8663020366683076,-0.25039256666078463,1.5427166674873807
52,9,88,0,-0.08237337097787466,-0.12682071374222684,-0.4036214326386015,-0.25039256666078463,-0.6689773707289994
53,4,2,0,-0.05513300112783903,2.0372464974466915,1.472969136674626,-0.25039256666078463,2.2799480135595074
54,6,97,0,0.28537162199760635,-0.05304569517896826,0.3850905457684072,0.02229688491995781,1.0987023340575772
55,6,98,0,0.10376915633070215,-0.05304569517896826,1.581756995765248,0.02229688491995781,0.5792893402340333
56,11,109,0,0.2399710055808803,-0.12682071374222684,-0.2948335735479796,0.5676757880814427,0.0514987174778517
57,5,80,1,-0.13685411067794592,-0.028454022324548738,2.1256962912183575,0.02229688491995781,2.2380598688963182
58,1,134,0,-0.06875318605285684,-0.12682071374222684,1.9353175378097693,0.2949863365007003,2.0369967745130113
59,6,95,1,-0.10507367918623768,-0.10222904088780731,0.7386510878129283,0.02229688491995781,0.36147098798545046
