,price,minimum_nights,label
398,33,62,1
399,33,62,1
400,33,62,1
401,60,2,1
402,48,4,1
403,40,4,1
404,45,30,1
405,25,3,1
406,29,5,1
407,49,90,1
408,67,180,1
409,33,1,1
410,65,180,1
411,80,20,1
412,86,4,1
413,75,12,1
414,40,3,1
415,51,60,1
416,130,5,1
417,80,4,1
418,99,3,1
419,180,2,1
420,25,10,1
421,50,3,1
422,36,60,1
423,39,90,1
424,64,3,1
425,100,3,1
426,65,6,1
427,70,2,1
428,85,2,1
429,65,3,1
430,75,7,1
431,39,2,1
432,22,2,1
433,51,2,1
434,29,2,1
435,37,60,1
436,50,5,1
437,60,3,1
438,95,15,1
439,59,7,1
440,56,180,1
441,48,2,1
442,28,1,1
443,109,60,1
444,130,5,1
445,90,2,1
446,83,2,1
447,70,2,1
448,60,2,1
449,209,2,1
450,70,4,1
451,44,3,1
452,34,3,1
453,30,1,1
454,33,5,1
455,95,60,1
456,35,2,1
457,47,30,1
458,189,3,1
459,30,30,1
460,85,3,1
461,15,3,1
462,58,5,1
463,53,4,1
464,45,3,1
465,35,1,1
466,65,3,1
467,65,3,1
468,44,3,1
469,125,1,1
470,45,1,1
471,50,7,1
472,75,2,1
473,75,2,1
474,73,4,1
475,39,7,1
476,98,3,1
477,65,3,1
478,80,2,1
479,37,5,1
480,35,5,1
481,50,7,1
482,35,5,1
483,235,4,1
484,55,3,1
485,60,17,1
486,115,3,1
487,46,1,1
488,79,7,1
489,37,7,1
490,52,14,1
491,99,2,1
492,51,3,1
493,160,3,1
494,63,4,1
495,49,1,1
496,40,3,1
497,90,3,1
498,64,1,1
499,100,4,1
500,64,6,1
501,21,10,1
502,80,3,1
503,38,150,1
504,65,60,1
505,80,4,1
506,80,4,1
507,68,2,1
508,99,2,1
509,40,3,1
510,38,2,1
511,70,30,1
512,85,3,1
513,39,6,1
514,79,1,1
515,50,1,1
516,69,20,1
517,59,3,1
518,60,2,1
519,120,3,1
520,50,1,1
521,70,7,1
522,30,1,1
523,75,3,1
524,46,2,1
525,60,10,1
526,75,3,1
527,33,1,1
528,50,2,1
529,49,2,1
530,50,30,1
531,46,1,1
532,30,2,1
533,120,2,1
534,48,3,1
535,15,1,1
536,65,2,1
537,23,93,1
538,45,7,1
539,76,4,1
540,70,3,1
541,30,3,1
542,50,3,1
543,22,2,1
544,30,30,1
545,45,2,1
546,100,3,1
547,50,2,1
