,number_of_reviews,price,label
398,19,33,1
399,23,33,1
400,10,33,1
401,41,60,1
402,1,48,1
403,54,40,1
404,12,45,1
405,75,25,1
406,275,29,1
407,15,49,1
408,54,67,1
409,19,33,1
410,34,65,1
411,15,80,1
412,26,86,1
413,5,75,1
414,108,40,1
415,139,51,1
416,42,130,1
417,10,80,1
418,148,99,1
419,12,180,1
420,6,25,1
421,11,50,1
422,15,36,1
423,9,39,1
424,32,64,1
425,51,100,1
426,8,65,1
427,115,70,1
428,90,85,1
429,44,65,1
430,0,75,1
431,18,39,1
432,28,22,1
433,86,51,1
434,21,29,1
435,9,37,1
436,26,50,1
437,10,60,1
438,0,95,1
439,7,59,1
440,19,56,1
441,141,48,1
442,0,28,1
443,55,109,1
444,6,130,1
445,13,90,1
446,211,83,1
447,77,70,1
448,14,60,1
449,10,209,1
450,9,70,1
451,27,44,1
452,75,34,1
453,17,30,1
454,5,33,1
455,67,95,1
456,111,35,1
457,14,47,1
458,107,189,1
459,154,30,1
460,42,85,1
461,276,15,1
462,8,58,1
463,73,53,1
464,41,45,1
465,12,35,1
466,76,65,1
467,57,65,1
468,168,44,1
469,234,125,1
470,16,45,1
471,3,50,1
472,267,75,1
473,227,75,1
474,152,73,1
475,5,39,1
476,7,98,1
477,6,65,1
478,45,80,1
479,5,37,1
480,47,35,1
481,2,50,1
482,10,35,1
483,51,235,1
484,149,55,1
485,17,60,1
486,99,115,1
487,482,46,1
488,0,79,1
489,1,37,1
490,35,52,1
491,61,99,1
492,5,51,1
493,2,160,1
494,10,63,1
495,255,49,1
496,7,40,1
497,90,90,1
498,192,64,1
499,44,100,1
500,3,64,1
501,0,21,1
502,72,80,1
503,3,38,1
504,296,65,1
505,15,80,1
506,3,80,1
507,166,68,1
508,2,99,1
509,37,40,1
510,26,38,1
511,3,70,1
512,8,85,1
513,9,39,1
514,2,79,1
515,8,50,1
516,15,69,1
517,110,59,1
518,1,60,1
519,5,120,1
520,2,50,1
521,6,70,1
522,10,30,1
523,29,75,1
524,146,46,1
525,15,60,1
526,18,75,1
527,123,33,1
528,22,50,1
529,50,49,1
530,35,50,1
531,418,46,1
532,358,30,1
533,6,120,1
534,6,48,1
535,2,15,1
536,38,65,1
537,76,23,1
538,24,45,1
539,117,76,1
540,37,70,1
541,3,30,1
542,24,50,1
543,357,22,1
544,23,30,1
545,7,45,1
546,103,100,1
547,46,50,1
548,20,33,1
549,86,55,1
550,36,48,1
551,29,60,1
552,25,25,1
553,11,70,1
554,5,50,1
555,99,65,1
556,4,35,1
557,61,160,1
558,43,140,1
559,3,70,1
560,9,70,1
561,19,31,1
562,7,65,1
563,74,98,1
564,54,120,1
565,47,76,1
566,9,80,1
567,67,44,1
568,59,75,1
569,0,70,1
570,19,95,1
571,26,235,1
572,17,100,1
573,116,37,1
574,276,62,1
575,45,80,1
576,13,45,1
577,30,60,1
578,49,36,1
579,44,85,1
580,110,55,1
581,7,35,1
582,7,24,1
583,17,49,1
584,29,99,1
585,9,100,1
586,10,35,1
587,52,30,1
588,13,109,1
589,34,34,1
590,2,35,1
591,150,102,1
592,2,29,1
593,15,69,1
594,0,45,1
595,2,35,1
596,79,45,1
597,66,19,1
598,10,85,1
599,42,39,1
600,69,89,1
601,1,40,1
602,0,25,1
603,2,65,1
604,4,45,1
605,0,20,1
606,459,43,1
607,66,95,1
608,106,50,1
609,0,45,1
610,139,69,1
611,87,27,1
612,3,39,1
613,24,120,1
614,122,35,1
615,55,75,1
616,5,80,1
617,12,40,1
618,10,200,1
619,31,50,1
620,5,25,1
621,16,78,1
622,47,37,1
623,18,75,1
624,24,50,1
625,39,33,1
626,5,208,1
627,5,80,1
628,104,45,1
629,38,68,1
630,97,20,1
631,4,35,1
632,62,79,1
633,50,44,1
634,0,45,1
635,19,50,1
636,20,78,1
637,0,35,1
638,6,95,1
639,35,55,1
640,171,125,1
641,106,78,1
642,4,55,1
643,100,34,1
644,2,100,1
645,170,35,1
646,9,59,1
647,18,100,1
648,173,38,1
649,77,195,1
650,32,35,1
651,8,80,1
